MENSAJES;POLARIDAD
 ok continuemos con los actuadores;Positivo
 de la accion de jugar futbol;Positivo
 estas de acuerdo Alison;Negativo
 me quedan 20 minutos;Negativo
 por favor compañeros;Negativo
 a que sea Cancha de Futbol;Positivo
 ok , actuadores;Positivo
 digan;Negativo
 yo pienso que debe tener una orientacion,reconocimiento de patrones y inteligencia artificial;Positivo
 osea??;Negativo
 exactamente;Positivo
 inteligencia artificial le permite razonar y toamr deciciones;Positivo
 por eso;Positivo
 para mi tambien me parece los sensores;Positivo
 y necesita dispositivos de visualizacion;Positivo
 y dispositivo de orientacion;Positivo
 eso son actuadores;Positivo
 los dispositivos que hacen que el robot se mueva en la canha;Positivo
 podria ser;Negativo
 se supone que ahi no seria inteligencia artificial;Positivo
 porque el robot lo tiene que hacer solo;Positivo
 Dispositivo de visualización y orientación, Robot.;Positivo
 eso si estoy de acuerdo;Positivo
 solo las dos;Negativo
 Dispositivo de visualización y orientación;Positivo
 pero tambien de tener brazos y manos articuladas;Positivo
 para no perder el equilibrio;Positivo
 si tiene razon Edison;Positivo
 estamos hablando del Robot;Positivo
 ok queda : Dispositivo de visualización y orientación;Positivo
 vamos con sensores;Positivo
 pero como keda;Negativo
 Dispositivo de visualización y orientación;Positivo
 Dispositivo de visualización ,orientación,piernas y pies articulados brazos y manos articuladas;Positivo
 no;Negativo
 porque no puede kedar asi;Negativo
 ya estamos diciendo que estamos hablando del Robot;Positivo
 ahi en el libro hay un ejemplo de un robot que selecciona componentes;Positivo
 entoces pongan Edison;Positivo
 y tiene brazos y manos articuladas;Positivo
 ok;Positivo
 siiii;Positivo
 jajaj;Positivo
 sensores;Positivo
 ok;Positivo
 Cámara, sensores táctiles, sensores de movimiento, sensores de velocidad, acelerómetro.;Positivo
 keda asi estan de acuerdo;Negativo
 si;Positivo
 ok;Positivo
 ok;Positivo
 ok tengo una consulta;Positivo
 Edison ira modificando el documento;Negativo
 eso mismo les keria dcir;Negativo
 borrara todo lo que ya no es neceario;Negativo
 hay que modificarlo directo;Positivo
 o tengo que ir explicando como llegamos a esa cponclusion;Positivo
 si directo;Positivo
 ok entoncs lo hago en el mismo archivo y reenvio;Positivo
 hay que adornarlo con una caratula;Positivo
 eso cada unto;Positivo
 con los nombres de los participantes del grupo;Positivo
 les parece si nos dejamos ahi;Positivo
 eso estamos haciendo;Negativo
 ok;Positivo
 entoces comentemos el documento y lo revisamos mañana;Positivo
 cuando terminamos de revisar;Positivo
 mañana;Positivo
 hay que entregar el máximo el domingo;Positivo
 creo que si nos conectamos a las 8 podremos terminar;Positivo
 les anticipo yo no puedo el sabado todo el dia porque tengo el matrimonio de mi hermano;Negativo
 mañana no puedo trabajo en la noche;Negativo
 entoces el domingo a las 8 de la mañana;Positivo
 si listo compas ese dia;Positivo
 ok;Positivo
 y los comentarios en el documento;Negativo
 Edison trata de empezar el documento final ya con la cartula;Positivo
 y con lo que quedamos hoy;Positivo
 para que lo termines pronto;Positivo
 ok compañeras;Positivo
 una buena noche;Positivo
 igualmente!!!!!!!!!!!;Positivo
HOLA COMPAÑERAS POR FAVOR PUEDEN CONECTARSE!!!!!!!;Positivo
Oscar Guanoluisa  ha creado el grupo G1C-2B-V2-PA1617.;Negativo
Say Ra ha creado el grupo Grupo3-IA2b-AA2016.;Positivo
Say Ra ha actualizado la foto de portada del grupo.;Positivo
Pablo Lescano ha subido un archivo.;Positivo
¡Hola Pablo! Mil gracias por compatir su tarea promoviendo así la interacción con sus compañeros.;Positivo
Say Ra ha compartido un enlace.;Positivo
Say Ra ha compartido un enlace.;Positivo
¡Gracias Sayra! MUY BIEN;Positivo
Say Ra ha compartido un enlace.;Positivo
Buenas noches Sayra León, por favor para realizar la discusión del ejercicio, muchas gracias;Positivo
Buenas noches Pablo....;Positivo
me gustaría terminar entre los dos ya que el otro compañero no ha dado señales de vida hasta el momento, mi desarrollo del ejercicio.;Negativo
si Pablo, el otro compañero no ha respondido ninguno de los mensajes que he dejado.;Negativo
ok entonces analicemos;Positivo
Has revisado mi ejercicio tal vez???;Positivo
veo que ya has desarrollado sin embargo;Positivo
estuve revisando y bueno, es correcta la resolución manual de tu trabajo pero, es exactamente eso, manual;Positivo
es decir, todas esas conclusiones en base a las pistas del libro no es posible que la computadora las pueda leer;Positivo
que te parece si te explico como va mi trabajo;Positivo
claro, explícate mejor para poder enterder a que te refieres, gracias;Positivo
Todo lo que has logrado hacer ahora lo que se necesita es abstraer a algo que pueda entender la máquina, Empezaría por ejemplo reducir la matriz que tienes tu a arreglos;Positivo
despues definir variables que ya las tienes definidas;Positivo
despues verlos dominios que tambien veo qeu los tienes correctos;Positivo
ahora las restricciones;Positivo
hi es donde entra lo que te digo, la máquina por ejemplo n puede ver como nosotros toda la matriz de una y verla logicamente y sacar conclusiones. de hecho el acceso es sucesivo secuencial no simultáneo comouna vita humana;Positivo
ahora con respecto arestricciones, es facil definir que el inglñes esta en la casa roja, es decir as restricciones faciles son esas;Positivo
Entonces matemáticamente las restricciones obvias están definidas en el documento mío si puedes ver;Positivo
"Entonces yo realizo en base a las restricciones el recorrido que la máquina haría en cada abrirlo sin embargo, cuando me encuentro con restricciones como ""El hombre que fuma Chesterfields vive en la casa al lado del hombre con el zorro"" es donde me detengo porque no sé cómo definir matemáticamente estas restricciones. Me hago entender?";Positivo
Ahora, hablando de inteligencia artificial, necesitamos definir el problema en función de un algoritmo de búsqueda, en este caso el algoritmo de búsqueda de local;Positivo
ok. estamos hablando cómo resolver el ejercicio de acuerdo a una búsqueda, pero recuerda que se lo debe implementar a un agente inteligente que aprende y que guarda información....;Positivo
Si revisas sobre el algoritmo de búsqueda local la solución no es un nodo, si no es una combinación en forma de arreglo;Positivo
Es un array;Positivo
Claro la forma de aprender es justamente de las restricciones, si tú te fijas en mi ejercicio vamos a ver que planteo en las casas en función de un arreglo, los colores en función de otro arreglo, las nacionalidades en función de otro y así.;Positivo
Entonces lo único que hago es ir simulando como haría el recorrido la máquina comparando con las restricciones;Positivo
entonces, de acuerdo a cada restricción el agente guarda cada información añadida;Positivo
claro;Positivo
pero necesita las restricciones;Positivo
sin embargo, tienes razon, porque las restricciones que no son fijas puedes ser aprendidas segun se siga desarrollando el algoritmo,;Positivo
en eso tienes razon;Positivo
ahora la pregunta subsiste, como definirias matematicamente una restricción qeu no es fija;Positivo
por eso, de acuerdo a cada restricción, la información la guarda, y el ejercicio está basado en una búsqueda vuelta atrás porque tiene que regresar a ver la información de las otras variables y poder registrar en las demás;Positivo
si, es lo que haces manualemnte;Positivo
pero como programarias esa resticcion, en base a un planteamiento matemático;Positivo
ahi eta la cosa;Positivo
en el planteamieento;Positivo
"porque de hecho el ejercicio no dice ""resolver el ejercicio"" sino como lo plantearía";Positivo
"en las restricciones que no son fijas se lo programaría como te lo dije por la búsqueda vuelta atrás, y se colocaría la información con un ""if"" verificando si ya existe ese valor tendría que ponerlo otro y seguir verificando si los valores son correctos de acuerdo a las resctricciones";Positivo
debe seguir poniendo los valores, dar las opciones que se presentarían e ir tomando cada opción y hasta llegar a la respuesta correcta;Positivo
Estimada Sayra ya lo resolvi mediante la formulacion que habiamos conversado ayer, disculpame la hora por favor pero he pasado todo el dia trabajando en el ejercicio. Publico en el grupo la solucion final. Cualquier comentario o duda sin problema te lo agradezco mucho.;Positivo
Pablo Lescano ha subido un archivo.;Positivo
Say Ra ha compartido un enlace.;Positivo
Pablo Lescano ha compartido un enlace.;Positivo
Marco Almeida ha creado el grupo Grupo10-IA2b-AA2016.;Positivo
Listo para realizar el trabajo de este bimestre..;Positivo
A la espera de que se integre nuestro compañero George Apolo Gallardo;Negativo
Aquí estoy compañeros....que hay que hacer?;Positivo
El trabajo Colaborativo compañero debemos debatirlo. Debemos fijar fecha y hora para hacerlo. Propongo día Jueves a las 17h00;Positivo
Compañero como esta yo pino que realizó. Un chat de los tres y ahy hagamos este debate diariamente.. yo al final paso el informe como un debate y ya está es más práctico ya que todos tenemos diferentes tiempos... así lo realize en el pasado trabajo…;Positivo
Marco Almeida ha actualizado la foto de portada del grupo.;Positivo
Compañeros por saber en que chat vamos a empezar a comunicarnos sobre el trabajo;Positivo
Recuerden que la interacción debe quedar evidenciada en Facebook, por consiguiente les pido hacerlo en el chat de Facebook y si utilizan otro, por favor colgar el archivo con el resumen de la interacción. ¡Mil gracias!;Positivo
Ok ing…;Positivo
De acuerdo Ing;Positivo
Marco Almeida ha actualizado la descripción.;Neutro
"Compañeros a continuación el PLANTEAMIENTO DEL PROBLEMA - INTELIGENCIA ARTIFICIAL - TRABAJO COLABORATIVO.
Considere el siguiente puzzle lógico: en cinco casas, cada una con un color diferente, viven cinco personas de nacionalidades diferentes, cada una de las cuales prefiere un marce diferente de cigarrillos, una bebida diferente, y un animal doméstico diferente. Considerando los hechos siguientes, la pregunta para contestar es: ¿dónde vive Zebra, y en qué casa beben ellos el agua?
1. El inglés viven en la casa roja.
2. El español posee el perro.
3. El noruego vive en la primera casa a la izquierda.
4. Los Kools son fumados en la casa amarilla.
5. El hombre que fuma Chesterfields vive en la casa al lado del hombre con el zorro.
6. El noruego vive al lado de la casa azul.
7. El fumador de Winston posee caracoles.
8. El fumador de Lucky Strike bebe zumo de naranja. 
9. El ucraniano bebe el té.
10. El japonés fuma los Parliaments.
11. Los Kools son fumados en la casa al lado de la casa donde se guarda al caballo.
12. El café es bebido en la casa verde.
13. La casa verde está inmediatamente a la derecha (su derecha) de la casa de color marfil.
14. La leche es bebida en la casa del medio.";Neutro
Debemos ir planteando las restricciones;Positivo
Debemos considerar que según el problema plateado tenemos 14 restricciones .;Positivo
Las restricciones debemos ir colocando en cada casilla?;Positivo
Cigarrillos: Malboro - Lark -;Positivo
Propongo que vayamos resolviendo paso a paso hasta llegar a la respuesta solicitada;Positivo
Eso sería lo correcto;Positivo
Prosigamos;Positivo
En la casa verde se bebe café, por lo cual no es ésta la respuesta correcta;Positivo
Este es mi aporte compañeros:;Positivo
Correcto compañero;Positivo
Buen trabajo. Estoy listo para colaborar en el grupo.;Positivo
Según el análisis, ésta sería la respuesta:;Positivo
George Apolo Gallardo ha subido un archivo.;Positivo
¡George, muy buenos días! Gracias infinitas, ya lo revisaremos.;Positivo
Marco Almeida ha compartido un enlace.;Positivo
Gracias infinitas por compartir su tarea.;Positivo
Auí os dejo el LINK del Chat Grupal, donde interactuaremos.;Positivo
Compañeros. Qué tenemos que hacer ahora. Por favor. el LIDER y Secretario que informen. Saludos;Negativo
Saludos George debemos publicar el trabajo final en Google Docs;Positivo
Marco Almeida ha compartido un enlace.;Positivo
¡Hola Marco! mil gracias su gentileza;Positivo
A usted también ingeniera por estar al tanto. Saludos.;Positivo
Fredy Astudillo ha compartido un enlace.;Positivo
Estimados compañeros. Perdonen aún nos queda del trabajo en Grupo. ¿Verdad?. ¿Cuándo lo terminamos?;Negativo
Jhon Enrique Macanchi ha creado el grupo Grupo13-IA2b-AA2016.;Positivo
Jhon Enrique Macanchi ha actualizado la foto de portada del grupo.;Positivo
Compañeros bienvenidos al Grupo de Trabajo No. 13;Positivo
¡Jhon! dos cosas, a) por favor envíeles un correo a sus compañeros de equipo para pedirles se unan, y b) FELICITACIONES, esta linda la portada.;Positivo
Compañeros una vez que se ha desarrollado el ejercicio 5.13 de manera individual favor compartir las diferentes estrategias que utilizaron para el desarrollo grupal;Positivo
Buenas tardes compañeros, espero sus aportes para la resolucion del acertijo de einsten.;Positivo
En lo que respecta a mi aporte, yo lo primero que hice fue agrupar todos los detalles que forman parte del acertijo por vecinos, casas, mascotas , bebidas y cigarrillos.;Positivo
Hay que tomar en cuent que existen 5 casas, 5 nacionalidades diferentes, t tipos de cigarros diferentes, una bebida diferentes y una mascota diferente.;Positivo
una vez sacado los datos del acertijo procedemos a colocarlos en una tabla, en la cual como encabezado tenemos color casa, mascota, bebida, cigarrillos y como encabezados de las filas las nacionalidades, ingles, español, noruego, ucraniano y japones;Positivo
"Una vez realizada la tabla deducimos lo siguiente:
El noruego vive en la primera casa, por lo tanto no vive en la del medio y por lo tanto no toma leche, como el té lo bebe el ucraniano al noruego solo le queda café, zumo de naranja y agua.
Puesto que el noruego vive en la primera casa no tiene ninguna otra a la izquierda, por lo tanto no vive en la verde, además vive junto a la casa azul, y como en la roja vive el inglés al noruego le quedan marfil o amarilla.";Positivo
El dueño de la casa verde toma café, por lo tanto no es el ucraniano, que solo puede vivir en la casa marfil, amarilla o azul, lo ponemos también en la tabla, y por el mismo motivo el noruego no bebe café, así que se lo quitamos como posibilidad.;Positivo
Según la clave “El dueño de la casa verde toma café” y puesto que sabemos que el ucraniano toma té, el inglés solo pude beber leche, zumo de naranja o agua. Además   “El dueño de la casa amarilla fuma Kools” el británico solo puede fumar Chesterfield, Lucky Strike o Winston.;Positivo
"El que fuma Lucky Strike bebe zumo de naranja por lo tanto el ucraniano al no beber zumo de naranja tampoco fuma Lucky Strike, ni Parliaments, le quedan Kools, Chesterfield o Winston.
El que fuma Lucky Strike bebe zumo de naranja por lo tanto el japonés no bebe ni zumo de naranja, ni té, le queda leche o agua.";Positivo
La persona que fuma Winston tiene caracoles, por lo tanto el japonés no tiene ni caracoles ni perro, le quedan zorro, caballo y cebra. El español tiene un perro, por lo tanto ni fuma Winston ni Parliaments, le quedan Chesterfield, Lucky Strike y Kools.;Positivo
¡Jhon , muy buenos días! Bien su razonamiento, espermos la opiniones de los demás integrantes del equipo.;Positivo
El dueño de la casa amarilla fuma Kools por lo tanto no es el japonés, le queda la casa verde, marfil o azul. El noruego vive en la primera casa y es la amarilla, entonces también fuma Kools, puesto que es él quien vive en la amarilla el ucraniano solo puede vivir o en la marfil o en la azul.;Positivo
"Puesto que las casas roja y amarilla ya están ocupadas, el español vive en la verde, marfil o azul.
La persona que tiene un caballo vive junto a la que fuma Kools, por lo tanto el noruego no tiene ni caballo ni perro, le queda caracoles, zorro y cebra, pero como los caracoles son de quien fuma Winston solo puede tener un zorro o una cebra.";Positivo
"Cambiamos de estrategia e intentamos poner el orden de las casas.
El noruego vive en la primera casa que es amarilla y además vive junto a la casa azul que solo puede ser la segunda.
En la casa del medio beben leche. Y como en la verde toman café, no es esta, además la verde está a la derecha de la casa marfil, y como los Kools son fumados en la casa de al lado de donde se guarda el caballo, el caballo   debe estar en la casa marfil entonces la verde estaría en la posición 4 y la última casa sería la roja.";Positivo
"Casa 1 | Casa 2 | Casa 3 | Casa 4 | Casa 5 |
Amarilla | Azul | Marfil | Verde | Roja |
| | Leche | Café | |
Noruego | | | | Inglés |
También ponemos los datos que ya conocemos de la tabla anterior:
Casa 1 | Casa 2 | Casa 3 | Casa 4 | Casa 5 |
Amarilla | Azul | Marfil | Verde | Roja |
| | Leche | Café | |
Noruego | | | | Inglés |Kools | | | | |
| Casa |Mascota | Bebida | Cigarrillo | Posición |
Inglés | Roja | * | LecheZumo de naranjaAgua | ChesterfieldLucky StrikeWinston | Casa 5 |
Español | VerdeMarfilAzul | Perro | * | Chesterfield Lucky Strike | Casa 2 Casa 3 Casa 4 |
Noruego | Amarilla | * | Zumo de naranjaAgua | Kools | Casa 1 |
Ucraniano | MarfilAzul | * | Té | * | Casa 2 Casa 3Casa 4 |
Japonés | VerdeMarfilAzul | ZorroCaballoCebra | CaféLecheAgua | Parliaments | Casa 2Casa 3Casa 4 |";Positivo
"La persona que tiene un caballo vive en la casa que queda a lado de donde se fuma Kools, por lo tanto el caballo vivirá en la casa 3 que es la marfil, puesto que el español tiene un perro no vive en la casa   azul. 
El dueño de la casa verde toma café por lo tanto el ucraniano no vive en la casa 4, sino en la 2, el japonés puede vivir en la casa marfil o en la verde, igual que el español.";Positivo
"El dueño de la casa marfil tiene un caballo, entonces si el español tiene un perro solo nos queda la casa verde para él y la casa marfil queda para el japonés, si el japonés fuma Parliaments, en la casa verde se fuman Chesterfield,   y los Winston solo pueden ser fumados por el ucraniano en la casa azul.
Si el hombre que fuma Chesterfield vive en la casa de al lado del hombre con el zorro, las únicas casas que están cerca son la marfil y la roja, por lo tanto el zorro está en la roja porque en la marfil está el caballo.
El fumador de Winston posee caracoles por lo tanto los caracoles son del ucraniano y el único vecino que nos queda sin mascota es el ucraniano, por lo tanto la cebra se encuentra en la primera casa, en donde también se bebe el agua y es propiedad del noruego.";Positivo
"Buenas noches compañeros, en la resolución del ejercicio me dio lo siguiente:
-------------------------------------------------------------------------------
En la casa verde, que está habitada por el Japonés, se fuman Parliaments y se bebe café, tienen por mascota una cebra.
En la casa amarilla, que está habitada por el Noruego, se fuman Kools y tiene como mascota un zorro, se bebe agua.
------------------------------------------------------------------------------";Positivo
Me salieron varias tablas de PSR que voy a ir subiendo en imágenes.;Positivo
Mañana seguiré subiendo las tablas PSR del ejercicio.;Positivo
Gracias infinitas por compartir su tarea.;Positivo
Compañeros buen día, ya compartido cada uno de nuestros trabajos elaboremos el que se va a enviar a la profesora como trabajo final. Saludos;Positivo
Andrés Santos ha creado el grupo G5-C-R-2016.;Positivo
Andrés Santos ha subido un archivo.;Positivo
¡Hola! ¿qué les parece si en la portada se coloca una imagen que tenga relación con la asignatura.;Negativo
Andrés Santos ha actualizado la foto de portada del grupo.;Positivo
Andrés Santos ha compartido un enlace.;Positivo
David Fabara ha creado el grupo G8-IA-AA2016.;Neutro
Mi documento registrado con la fecha 25 de abril a 1 de mayo cumpliendo con lo requerido :;Positivo
David Fabara ha actualizado la foto de portada del grupo.;Positivo
TENEMOS HASTA EL 8 de mayo _Compas , están publicados y aceptados , tiene que publicar su trabajo , como yo lo he hecho , así podemos argumentar ideas y esta documentación será enviada a la profesora para después consolidar todo en un solo documento y subirlo en Google Docs;Negativo
Tengo un documento publicado , comenten y agreguen si pueden ideas , para cumplir lo estipulado por la profesora.;Positivo
hasta el 8 se debe analizar ese documento y de ahi hasta el 11 ajustar el documento a ser entregado....;Negativo
Bueno , en mi documento está expuesto para que lo comente , por favor , de esta manera tenemos tiempo y para completarlo con las ideas de todos , deme una cuenta en Google drive , para darle permisos para que comenté en este trabajo y perfeccionarlo (y);Positivo
En el documento si te deje unos comentarios, que no se activaron?;Positivo
Yo le agregué permisos para comentar a su correo , pero se necesita una cuenta en Google drive o Google (gmail) para poder hacer que esto sea posible , los comentarios son importantes para cumplir con lo que enfatizó la profesora (y);Positivo
Ok mi cuenta gmail es lvrstrd@gmail.com;Positivo
Ahí que me apoye;Positivo
Sus comentarios han sido agregados al documento muy bien.;Positivo
Por mi parte he cumplido enviando el link a la profesora , para que acceda a este grupo y para que pueda comentar el documento ;Positivo
Ah ya ? Y ha respondido algo la profesora?;Positivo
No , pero como es hasta el 11 le reenviare aunque el mismo link de este documento se actualiza y se sincroniza con todo cambio que le efectuemos , así que sus comentarios le he agregado al documento .;Positivo
Ah ya ya ok voy mañana también a revisar un poco más pata de ahí envíe en la tarde ok?;Positivo
Por supuesto ... listo entonces;Positivo
¡Hola! que les parece si en la portada colocan una imagen que tenga relación con la asignatura.;Negativo
Saludos estimada , he puesto los integrantes porque el grupo es cerrado , y para que los integrantes se familiaricen con su grupo lo he puesto de esta manera , ahora bien , el plazo máximo según planificación es 11 de mayo , está todo lo requerido , su amabilidad si es necesario extender la fecha , pero actualmente todo está listo cumpliendo lo requerido , este documento en Google docs se ha desarrollado con 3 compañeros , que han publicado comentarios y le envié a su correo a más del link de acceso a este grupo también el link del documento en Google docs .;Positivo
Washington Quillupangui ha creado el grupo G4-IA-AA2016;Neutro
Revisando los tres documentos podemos ver que el concepto de medida de rendimiento aun no lo tenemos muy claro;Negativo
Las medidas de rendimiento son criterios que dan el exito en el comportamiento del agente;Positivo
Secuencias de acciones de acuerdo a las percepciones recibidas;Positivo
De acuardo pero tienen un fin ese fin es calificado como exito o fracaso;Positivo
por tanto debe ser el estado final deseado, la secuencia de estados para llegar a este es de lo que se trata la IA;Positivo
buscar el mejor camino a ese estado de exito;Positivo
Se podría solicitar mas ejemplos y conceptos claros a Ing. Tutora;Positivo
No creo sea necesario;Negativo
Si puedes adelantar un poco en la materia se aclara ya que en la resolución de problemas mediante búsqueda se define que es el test objetivo;Positivo
En la parte de entorno no veo problemas;Positivo
Se revisara la información;Positivo
Y los actuadores y sensores me parece que también no hay mucho que tratar solo que en mi forma de ver los actuadores son dispositivos de salida y los sensores son dispositivos de entrada, simplificando los terminos para mejor aplicacion y comprension;Positivo
Washington Quillupangui ha cambiado el nombre del grupo IA-IBIM por G1-IA-AA2016.;Positivo
Washington Quillupangui ha cambiado el nombre del grupo G1-IA-AA2016 por G4-IA-AA2016.;Positivo
"¡Hola, muy buenas tardes!
Que les parece si en la portada colocan algo que tenga relación con la asignatura.";Negativo
Trabajando ......;Neutro
Sandy Sócola ha creado el grupo GRUPO 10.;Positivo
Sandy Sócola ha actualizado la foto de portada del grupo.;Positivo
Sandy Sócola ha actualizado la descripción.;Neutro
"La temática que vamos abordar en este grupo de estudio es sobre el siguiente ejercicio:
* Identifique la descripción REAS que define el entorno de trabajo para cada uno de los siguientes agentes:
a. Robot que juega al futbol;
b. Agente para comprar libros en Internet;
c. Explorador autónomo de Marte;
d. Asistente matemático para la demostración de teoremas.";Neutro
Significado de REAS en inteligencia artificial.;Positivo
Javier Heras ha compartido un enlace.;Positivo
Javier Heras ha subido un archivo.;Positivo
"AGENTE INTELIGENTE
https://www.youtube.com/watch?v=RRVZjdk5OsQ";Positivo
"AGENTE PARA COMPRAR LIBROS EN INTERNET:
MEDIDA DE RENDIMIENTO:Reducción de los tiempos de compra, Facilidad en la búsqueda de libros, Utilización de sitios web idóneos 
ENTORNO: Internet 
ACTUADORES:Buscar los mejores sitios, Visualización de búsquedas bibliográficas. 
SENSORES:Teclado de entrada, mouse, aplicaciones de usuario.";Positivo
Compañera, también puede incluir aplicaciones móviles, ya que se tiene abierto la navegación por internet;Positivo
"Este es mi segundo aporte al grupo.
-----------------Explorador autónomo de Marte -----------------------
==> Medidas de rendimiento: Búsqueda y recopilación de información sobre el planeta.
==> Entorno: Planeta Marte,Nave
==>Actuadores: Dispositivos de movimiento y reconocimiento.
==>Sensores: Cámara,Sensor angular, radares.";Positivo
"Considero muy interesante su descripción estimada compañera.
Yo propongo especificar unos detalles adicionales que describo a continuación.
MEDIDA DE RENDIMIENTO: Terreno explorado y reportado, las muestras recogidas y analizadas.
AMBIENTE: El aterrizaje.
ACTUADORES: Recolector de muestras, dispositivo recolector de muestras, dispositivo de análisis de muestras, radiotransmisor.";Positivo
en el ambiente podríamos cambiar por el tipo de terreno que tendríamos en Marte, con rocas, con arena, irregular ..;Positivo
Cristian Andrés Garcés ha subido un archivo.;Positivo
"Voy a dar inicio a la resolución del ejercicio identificando la descripción REAS del siguiente agente:
TIPO DE AGENTE: Robot que juega al futbol.
MEDIDA DE RENDIMIENTO: Partidos ganados, goles a favor y goles en contra.
AMBIENTE: El campo de juego, propio equipo, el equipo rival  y el propio cuerpo. 
ACTUADORES: Dispositivos como por ejemplo las piernas para el movimiento y para patear el balón. Los brazos para ganar espacios en una jugada.
SENSORES: Cámara, sensores de tacto, acelerómetros, sensores de orientación y ruedas.";Positivo
En el entorno de trabajo,referente a la medida de rendimiento se deberia generalizar los objetivos ya ques si no se la hace de esta manera tendriamos que detallar y extendernos demasiado.;Negativo
Gracias por su observación compañera, la tendré en cuenta.;Positivo
en Rendimiento podría ser : juego seguro, mejora posibilidad de ganar;Positivo
En ambiente yo propongo : cancha de futbol, parque,calle, zona de entrenamiento;Positivo
y en Sensores podría ir sensor de proximidad,;Positivo
Si le parece puede revisar mi trabajo, para ver otra opción compañero .;Positivo
Sandy Sócola ha compartido un enlace.;Positivo
Cronograma de trabajo;Positivo
Sandy Sócola ha subido un archivo.;Positivo
Gracias estimada Sandy, ya lo voy a revisar.;Positivo
Gracias Sandy;Positivo
"Voy a continuar con la descripción del último agente.
* TIPO DE AGENTE: Asistente matemático para la demostración de teoremas.
* MEDIDA DE RENDIMIENTO: Facilitar el proceso de demostración y reducir los errores.
* AMBIENTE: Universidades, institutos tecnológicos y centros de investigación.
* ACTUADORES: Visualizador de resultados en pantalla. 
* SENSORES: Teclado, mouse e interfaz gráfica del programa.";Positivo
¡Hola Javier! esperemos a ver que dicen sus colegas.;Positivo
Hola compañero muy buenos días , considero sus apreciaciones muy válidas .;Positivo
Compañeros, en Ambiente no entra también clientes,dispositivos moviles, computadores ??;Negativo
Clientes no compañero las otras 2 opciones podrían ser Esperemos para ver q dice Javier;Positivo
La sugerencia es por que los usuarios finales son los clientes;Positivo
si compañero esta en lo cierto.;Positivo
Yendo a lo más específico, tiene razón.;Positivo
Buenos días Compañero Heras Javier tenemos que ver lo de la elaboración del documento usted es el secretario.;Negativo
Jeoffre V Lima ha creado el grupo GRUPO #1.;Positivo
Compañeros adjunto mi trabajo, revisen para aportar y hacer el grupal;Positivo
Yimmi Arturo Mateo Ubilla ha subido un archivo;Neutro
CONFIRME COMPAÑERO, INVITARON A LA PROFESORA.;Negativo
Gracias por el interes compañero, ya le envie el link del grupo a la profesora.;Positivo
Buenas noches compañeros, los invito a que interactuen en el grupo con comentarios o sugerencias para hacer el trabajo de la mejor manera. No solo se calificara el trabajo en si, tambien se hara una heteroevaluacion (realiza la profesora), autoevaluación (cada integrante se hace una evaluacion personal) y una coevaluacion (evaluacion entre integrantes del grupo).;Positivo
"Compañeros hagan su trabajo (ejercicio 2.5 del libro) y compartanlo hasta el martes de la proxima semana, para que todos podamos ""comprobar, argumentar o refutar las respuestas de cada uno de los trabajos"" de esta manera estariamos cumpliendo con el numeral 4 del trabajo colaborativo.";Positivo
Jeoffre V Lima ha compartido un enlace.;Positivo
Ok. ya reviso mi documento y adjunto nuevamente, gracias;Positivo
Yimmi Arturo Mateo Ubilla ha subido un archivo.;Positivo
"Estimados compañeros espero que sigan avanzando con su trabajo, les recuerdo que mañana es el plazo limite para compartirlos, ya que tenemos que seguir con el numeral 4 del trabajo colaborativo.
Si tienen alguna duda haganla saber para entre todo el grupo despejarla.
Tambien les informo que tenemos que elegir un secretario...¿Alguna idea 
para elegirlo?";Positivo
Jeoffre V Lima ha subido un archivo.;Positivo
"Comentarios:
Robot que juega futbol:
Marcar un gol, podríamos cambiarlo porque el robot podría hacer autogoles e incrementar su rendimiento.
Entorno: perfecto a mí se me olvido el tiempo de juego.
Explorador autónomo de marte: creo que podemos cambiar el punto recarga óptima de batería por maximizar el consumo de energía en sus componentes; en el entorno no puede ser geografía porque esta se encarga del estudio de la tierra.";Positivo
el resto todos pueden ser válidos, porque esto depende del diseñador del agente, que nivel de profundidad quiera darle a su agente.;Positivo
"Gracias por sus comentarios, pero en lo de ""recarga optima de bateria"" me refiero ha recargarla por completo una vez que se agoto, no al consumo.";Positivo
Alexander David ha subido un archivo.;Positivo
Amigo. Cual sería la función de la cámara web en el agente de teoremas matemáticos?;Positivo
"Por medio de reconocimiento del ejercicio se puede aconsejar el uso de un teorema... seria como el traductor web de google reconoce los idiomas y los traduce al momento, en nuestro caso evalua el ejercicio y por medio de las variables que contenga se puede dar un teorema para que sea aplicado.
Saludos";Positivo
Osea reconocimiento de los problemas. Ok;Positivo
De 6 a 8 pm estoy disponible todos los dias;Positivo
Estoy de acuerdo con el chat, creo que todos podemos en la noche.;Positivo
Estan de acuerdo para realizar hoy el chat de 6 a 7 pm???;Positivo
A las 6 esta bien y aprovechamos para elegir el secretario, el es el encargado de ir creando el documento del trabajo colaborativo con nuestros aportes.;Positivo
Si 6 a 7;Positivo
Les informo que falto un compañero del grupo que nunca se hizo presente, le envie varios correos y no respondio, ya le notificare a la profesora.;Neutro
Bueno entonces quedamos a las 6 pm.;Positivo
Alexander David ha subido un archivo.;Positivo
OK. alexander por favor pon en un solo estilo de letra y formato APA, y adjunta las referencias de todos.;Positivo
Listo... en a tarde les subo el archivo modificado;Positivo
Les escribí un mail;Positivo
